,veh_id,veh_mode,link_id,entry_time,exit_time
0,veh_14866_bus,bus,5221378098763594059_5221378098671700417,1,2
1,veh_14980_bus,bus,7780,1,6
2,veh_5098_bus,bus,5221367059841610629_5221367059851363173,1,7
3,veh_17421_bus,bus,5221367059841610629_5221367059851363173,1,9
4,veh_5218_bus,bus,5221367059841610629_5221367059851363173,1,9
5,veh_14474_bus,bus,5221377940802646525_5221377941103321173,1,12
6,veh_11304_bus,bus,3748,1,12
7,veh_11304_bus,bus,5221366976716902339_5221366976716902339,12,12
8,veh_14866_bus,bus,961,2,12
9,veh_11304_bus,bus,5221366976716902339_5221366976715137595,12,14
10,veh_6577_bus,bus,50,1,16
11,veh_6577_bus,bus,5221366599946213907_5221366599948063983,16,17
12,veh_11304_bus,bus,5221366976715137595_5221366976671772197,14,20
13,veh_14474_bus,bus,5221377941103321173_5221377941136337885,12,21
14,veh_14866_bus,bus,5221378098309444121_5221378109014319275,12,24
15,veh_11304_bus,bus,8476,20,27
16,veh_11304_bus,bus,5221366976625390715_5221366976625390715,27,27
17,veh_14980_bus,bus,5221366461601103225_5221366459736320921,6,29
18,veh_5098_bus,bus,4969,7,30
19,veh_6713_bus,bus,404,1,31
20,veh_8694_bus,bus,404,1,31
21,veh_14866_bus,bus,1929,24,32
22,veh_11304_bus,bus,941,27,35
23,veh_11304_bus,bus,5221366975907738947_5221366975907738947,35,35
24,veh_6713_bus,bus,1469,31,35
25,veh_6713_bus,bus,5221366975804716449_5221366975804716449,35,35
26,veh_6713_bus,bus,5221366975804716449_5221366975803465153,35,35
27,veh_8694_bus,bus,1469,31,35
28,veh_8694_bus,bus,5221366975804716449_5221366975804716449,35,35
29,veh_8694_bus,bus,5221366975804716449_5221366975803465153,35,35
30,veh_14980_bus,bus,5221366459736320921_5221366459736320921,29,35
31,veh_17512_bus,bus,4443,1,36
32,veh_14866_bus,bus,5221378109037088637_5221378109460666837,32,36
33,veh_14474_bus,bus,771,21,37
34,veh_11304_bus,bus,5221366975907738947_5221366975903922487,35,37
35,veh_17421_bus,bus,4969,9,40
36,veh_6713_bus,bus,7942,35,40
37,veh_6713_bus,bus,5221366975634597869_5221366975634597869,40,40
38,veh_8694_bus,bus,7942,35,40
39,veh_8694_bus,bus,5221366975634597869_5221366975634597869,40,40
40,veh_5218_bus,bus,4969,9,40
41,veh_17512_bus,bus,5221366441799093435_5221366441799093435,36,40
42,veh_6577_bus,bus,587,17,41
43,veh_5098_bus,bus,8240,30,41
44,veh_14866_bus,bus,2109,36,41
45,veh_14980_bus,bus,6373,35,44
46,veh_14866_bus,bus,5221378109406526987_5221378109397558421,41,44
47,veh_12882_bus,bus,5881,1,45
48,veh_3244_bus,bus,5881,1,45
49,veh_11304_bus,bus,9194,37,46
50,veh_6713_bus,bus,5849,40,46
51,veh_8694_bus,bus,5849,40,46
52,veh_6713_bus,bus,5221366975752798799_5221366975756508637,46,47
53,veh_5098_bus,bus,2676,41,50
54,veh_8694_bus,bus,7368,46,51
55,veh_14866_bus,bus,3462,44,51
56,veh_6713_bus,bus,4932,47,52
57,veh_6713_bus,bus,5221366976010853411_5221366975903922487,52,53
58,veh_11304_bus,bus,7968,46,54
59,veh_11304_bus,bus,5221366975634597869_5221366975634597869,54,54
60,veh_6713_bus,bus,5221366975903922487_5221366975907738947,53,54
61,veh_6713_bus,bus,5221366975907738947_5221366975907738947,54,54
62,veh_8694_bus,bus,6349,51,54
63,veh_12882_bus,bus,6177,45,55
64,veh_12882_bus,bus,5221377811842941349_5221377811842941349,55,55
65,veh_17421_bus,bus,8240,40,55
66,veh_3244_bus,bus,6177,45,55
67,veh_3244_bus,bus,5221377811842941349_5221377811842941349,55,55
68,veh_5218_bus,bus,8240,40,55
69,veh_10466_bus,bus,1719,1,59
70,veh_10466_bus,bus,5221377930390367729_5221377930390367729,59,59
71,veh_14866_bus,bus,2941,51,59
72,veh_11304_bus,bus,6076,54,60
73,veh_6713_bus,bus,8963,54,60
74,veh_6713_bus,bus,5221366976625390715_5221366976625390715,60,60
75,veh_11304_bus,bus,5221366975803465153_5221366975804716449,60,61
76,veh_22576_bus,bus,5221377811505546851_5221377811505546851,61,61
77,veh_6577_bus,bus,7336,41,62
78,veh_6713_bus,bus,4144,60,65
79,veh_8694_bus,bus,5221366969638035547_5221366969256392963,54,65
80,veh_12882_bus,bus,4671,55,66
81,veh_3244_bus,bus,4671,55,66
82,veh_17421_bus,bus,2676,55,67
83,veh_5218_bus,bus,2676,55,67
84,veh_14866_bus,bus,4574,59,67
85,veh_25482_bus,bus,4693,61,68
86,veh_14474_bus,bus,4965,37,70
87,veh_6713_bus,bus,5221366976671772197_5221366976715137595,65,70
88,veh_11304_bus,bus,5221366975804716449_5221366975804716449,61,71
89,veh_10466_bus,bus,9155,59,71
90,veh_14980_bus,bus,4258,44,71
91,veh_14980_bus,bus,5221366459319470813_5221366459319470813,71,71
92,veh_19555_bus,bus,6606,1,72
93,veh_19555_bus,bus,5221366461317526145_5221366461317526145,72,72
94,veh_6713_bus,bus,5221366976715137595_5221366976716902339,70,72
95,veh_23867_bus,bus,4693,61,72
96,veh_5098_bus,bus,8649,50,74
97,veh_14866_bus,bus,5221378109881562445_5221378110714981775,67,74
98,veh_14866_bus,bus,5221378110714981775_5221378110714981775,74,74
99,veh_12882_bus,bus,5221377811880650987_5221377359203843217,66,75
100,veh_12882_bus,bus,5221377359203843217_5221377359203843217,75,75
101,veh_3244_bus,bus,5221377811880650987_5221377359203843217,66,75
102,veh_3244_bus,bus,5221377359203843217_5221377359203843217,75,75
103,veh_11304_bus,bus,5828,71,77
104,veh_6577_bus,bus,1361,62,78
105,veh_25482_bus,bus,5221366421111690359_5221366421963481555,68,79
106,veh_14980_bus,bus,2433,71,80
107,veh_14980_bus,bus,5221366459341604967_5221366458964660921,80,81
108,veh_5098_bus,bus,1936,74,82
109,veh_5098_bus,bus,5221365548559749663_5221365548559749663,82,82
110,veh_6713_bus,bus,5221366976716902339_5221366976716902339,72,83
111,veh_22576_bus,bus,5881,61,83
112,veh_12882_bus,bus,5734,75,85
113,veh_12882_bus,bus,5221377359261337665_5221377359261337665,85,85
114,veh_3244_bus,bus,5734,75,85
115,veh_3244_bus,bus,5221377359261337665_5221377359261337665,85,85
116,veh_5098_bus,bus,5221365548559749663_5221365548584856141,82,86
117,veh_5098_bus,bus,5221365548584856141_5221365548584856141,86,86
118,veh_22576_bus,bus,6177,83,88
119,veh_22576_bus,bus,5221377811842941349_5221377811842941349,88,88
120,veh_6713_bus,bus,6018,83,90
121,veh_6713_bus,bus,5221366977019060461_5221366977019060461,90,90
122,veh_10466_bus,bus,5221377930433811965_5221377930433811965,71,91
123,veh_23867_bus,bus,5221366421111690359_5221366421963481555,72,91
124,veh_12882_bus,bus,6672,85,92
125,veh_3244_bus,bus,6672,85,92
126,veh_22576_bus,bus,4671,88,93
127,veh_25482_bus,bus,7292,79,95
128,veh_5098_bus,bus,5221365548584856141_5221365548636416719,86,95
129,veh_17421_bus,bus,1827,67,96
130,veh_22576_bus,bus,5221377811880650987_5221377359203843217,93,97
131,veh_22576_bus,bus,5221377359203843217_5221377359203843217,97,97
132,veh_10466_bus,bus,4694,91,98
133,veh_14980_bus,bus,5221366458964660921_5221366469626356107,81,98
134,veh_10466_bus,bus,5221377933304038853_5221377933301887349,98,99
135,veh_5218_bus,bus,8649,67,99
136,veh_6577_bus,bus,5725,78,100
137,veh_8694_bus,bus,6037,65,101
138,veh_14980_bus,bus,1363,98,102
139,veh_22576_bus,bus,5734,97,102
